temp_huan1,temp_21#bellow_sul,temp_20#bellow_sul,temp_24#bellow_nor,temp_23#bellow_nor,temp_22#bellow_nor,temp_21#bellow_nor,temp_20#bellow_nor,prequency_fan_2,pressure_flue_sul,pressure_flue_nor,temp_flue_nor,thickness,hun2_water,hun2_waterq,zhonghe,fankuang,SS_FeO_value,SS_FeO_value.1,SS_FeO_value.2
349.4,458.6,455.2,476.2,523.4,509.6,505.6,453.4,6.0368,-13.6226,-13.604,153.0,762.4418,6.0984,60.0,0.595970474,0.249853564,9.32,9.32,9.4
349.8,458.4,456.6,474.2,522.2,507.8,504.0,453.6,6.0506,-13.599,-13.5796,152.8,764.5094,6.0984,60.0,0.598357667,0.247429964,0.0,0.0,0.0
350.2,458.2,459.0,472.4,520.4,506.4,502.4,453.2,6.0696,-13.5744,-13.5602,152.6,765.4538,6.154,60.0,0.599686246,0.245923723,0.0,0.0,0.0
352.6,459.0,459.8,469.6,518.4,504.8,500.8,451.8,6.0652,-13.557,-13.526,152.8,774.6194,6.0874,60.0,0.599767373,0.245892745,0.0,0.0,0.0
355.8,459.4,460.6,467.8,516.8,503.2,499.2,450.4,6.08,-13.5434,-13.5054,153.2,780.1872,6.0214,60.0,0.598863879,0.24768986,9.4,9.4,9.46
359.2,459.4,460.0,467.6,517.2,503.0,498.4,449.0,6.0682,-13.5326,-13.485,153.8,781.6524,6.0756,60.0,0.600069233,0.247070128,0.0,0.0,0.0
364.2,459.8,460.0,466.6,515.4,503.0,498.0,439.0,6.0206,-13.5298,-13.485,154.4,786.6342,6.126,60.0,0.599724134,0.247287577,0.0,0.0,0.0
368.4,460.6,460.0,465.6,513.6,500.0,494.6,429.0,5.981,-13.524,-13.48,155.2,790.7042,6.1208,60.0,0.600198374,0.246624567,0.0,0.0,0.0
367.0,462.6,461.0,466.0,513.0,497.0,490.6,423.2,5.942,-13.517,-13.478,155.4,784.9086,6.1494,60.0,0.600922188,0.246421949,9.46,9.46,9.45
365.0,464.8,463.0,467.4,513.4,495.6,487.4,419.2,5.8972,-13.512,-13.481,156.0,781.2944,6.1838,60.0,0.601505445,0.245828982,0.0,0.0,0.0
363.0,467.0,465.0,468.2,513.8,494.6,484.2,415.2,5.873,-13.51,-13.479,156.4,774.294,6.1976,60.0,0.600501856,0.24632589,0.0,0.0,0.0
359.6,468.6,466.2,469.2,515.2,494.2,481.8,422.8,5.8914,-13.5042,-13.472,156.2,768.954,6.2152,60.0,0.599419883,0.24745586,0.0,0.0,0.0
357.2,469.6,468.2,469.6,517.0,496.8,483.6,431.4,5.937,-13.5042,-13.4632,156.0,760.9768,6.194,60.0,0.596901765,0.250256674,9.45,9.45,9.25
358.4,469.6,470.2,469.6,518.2,499.6,486.2,437.8,5.9694,-13.5062,-13.4564,156.2,757.3138,6.1222,60.0,0.5951654,0.251234684,0.0,0.0,0.0
361.0,469.4,471.6,467.8,517.6,501.2,488.6,440.4,6.001,-13.5082,-13.4466,156.0,761.5304,6.046,60.0,0.595101215,0.251581746,0.0,0.0,0.0
363.6,469.2,473.0,466.0,517.0,502.2,491.0,443.0,6.0326,-13.5102,-13.4368,155.8,768.9542,6.0086,60.0,0.595196694,0.252231296,0.0,0.0,0.0
364.6,468.6,473.6,464.4,516.4,502.6,492.2,438.8,6.059,-13.512,-13.434,156.2,777.0942,5.9882,60.0,0.596751531,0.250430257,9.25,9.25,9.25
362.4,467.8,471.6,463.0,514.0,501.4,490.4,433.4,6.0084,-13.515,-13.435,156.4,781.0664,6.0022,60.0,0.596201777,0.251171304,0.0,0.0,0.0
360.2,467.0,469.6,461.6,511.6,500.2,488.6,428.0,5.9578,-13.518,-13.436,156.6,784.3224,6.003,60.0,0.599634064,0.248375613,0.0,0.0,0.0
354.6,465.2,465.6,460.8,510.0,497.2,485.6,426.0,5.96,-13.5218,-13.439,156.8,777.5174,6.0024,60.0,0.601534726,0.246601216,0.0,0.0,0.0
348.6,463.8,461.8,460.6,509.4,494.8,483.8,426.0,5.9804,-13.5296,-13.4438,156.8,770.4844,6.023,60.0,0.599642675,0.248035534,9.25,9.25,9.34
343.4,462.8,460.0,461.0,509.0,493.8,482.6,429.8,5.959,-13.5374,-13.4506,156.6,760.8468,6.0434,60.0,0.597436345,0.250462564,0.0,0.0,0.0
342.0,463.4,460.0,461.8,511.0,493.8,484.4,433.8,5.9794,-13.5412,-13.4604,156.4,758.5676,6.0404,60.0,0.6002858,0.246955883,0.0,0.0,0.0
340.2,464.8,461.0,463.2,513.8,494.8,487.2,437.4,6.0072,-13.5432,-13.475,156.0,757.0046,6.0506,60.0,0.599153214,0.24698594,0.0,0.0,0.0
339.0,467.6,463.8,465.4,517.2,498.2,490.4,441.2,6.0108,-13.556,-13.4934,155.8,752.153,6.0754,60.0,0.596758101,0.248352672,9.34,9.34,9.4
337.2,470.8,468.4,464.2,516.8,499.8,491.8,442.8,6.0094,-13.5618,-13.5042,156.0,745.641,6.0608,60.0,0.598378514,0.247576463,0.0,0.0,0.0
335.4,474.0,471.6,462.6,516.4,500.6,493.2,443.8,6.052,-13.5706,-13.511,156.2,741.4406,6.019,60.0,0.597028099,0.249068264,0.0,0.0,0.0
332.4,475.4,475.0,461.4,514.6,501.0,493.0,446.2,6.08,-13.5776,-13.5246,156.2,741.229,5.9882,60.0,0.596066579,0.251266242,0.0,0.0,0.0
331.4,476.0,477.4,458.4,512.0,500.2,491.8,449.6,6.0748,-13.5872,-13.5324,156.4,741.0174,5.9574,60.0,0.595105059,0.25346422,9.4,9.4,9.32
332.4,476.2,479.6,454.8,508.8,498.4,490.8,451.4,6.0476,-13.5832,-13.5324,156.4,744.0944,5.912,60.0,0.595406067,0.254325523,0.0,0.0,0.0
334.4,475.6,479.8,454.0,507.2,497.8,490.2,453.4,6.0072,-13.5822,-13.5382,156.2,745.1038,5.9126,60.0,0.595663782,0.253579865,0.0,0.0,0.0
337.0,475.0,480.6,451.2,504.2,496.0,489.2,456.0,6.0042,-13.5754,-13.545,156.0,743.2154,5.8754,60.0,0.597814893,0.251462386,0.0,0.0,0.0
339.2,475.0,481.2,448.0,501.6,494.2,488.6,457.2,6.0048,-13.5754,-13.5402,156.2,736.7848,5.855,60.0,0.59806206,0.25035951,9.32,9.32,9.3
339.2,474.6,481.8,446.8,500.8,492.6,489.0,458.0,6.0312,-13.5746,-13.5364,156.4,735.922,5.8902,60.0,0.597951757,0.250651624,0.0,0.0,0.0
339.2,474.2,482.4,445.6,500.0,491.0,489.4,458.8,6.0576,-13.5738,-13.5326,156.6,735.0592,5.9254,60.0,0.597841454,0.250943739,0.0,0.0,0.0
339.2,473.8,483.0,446.8,500.4,491.0,490.0,460.0,6.0642,-13.572,-13.5268,157.0,738.1524,5.9328,60.0,0.597551632,0.251777041,0.0,0.0,0.0
338.6,473.0,483.0,450.0,504.0,493.4,492.0,460.6,6.0334,-13.576,-13.52,157.4,738.1524,5.9818,60.0,0.596734284,0.25240131,9.3,9.3,9.28
339.8,471.6,482.8,454.6,508.0,496.2,494.8,462.0,6.0268,-13.572,-13.515,157.4,749.646,6.0982,60.0,0.594766178,0.254016917,0.0,0.0,0.0
341.6,470.6,482.6,458.4,510.2,499.2,496.6,463.2,6.054,-13.5728,-13.513,157.8,755.5718,6.159,60.0,0.59315554,0.254237533,0.0,0.0,0.0
342.0,469.8,482.2,460.0,510.2,500.2,497.8,463.2,6.09,-13.5678,-13.508,158.2,751.6972,6.1758,60.0,0.591914274,0.254440145,0.0,0.0,0.0
341.2,468.6,481.0,457.6,509.4,499.0,497.8,462.8,6.1202,-13.558,-13.4972,158.4,751.518,6.1634,60.0,0.592066406,0.253563022,9.28,9.28,9.2
341.0,467.4,479.6,456.0,507.4,496.6,497.0,463.8,6.1504,-13.5482,-13.4864,158.6,756.9066,6.1576,60.0,0.592678417,0.253456621,0.0,0.0,0.0
339.6,466.8,478.6,453.0,505.6,495.2,496.0,465.2,6.1652,-13.5356,-13.4776,159.2,750.183,6.0792,60.0,0.594174868,0.252419594,0.0,0.0,0.0
338.4,467.0,478.0,451.2,504.2,494.4,495.8,466.0,6.1,-13.5132,-13.46,159.6,744.2084,6.0176,60.0,0.596414951,0.251040337,0.0,0.0,0.0
338.2,466.8,478.0,451.6,506.2,495.6,497.0,466.8,6.026,-13.4966,-13.4454,160.0,748.0342,6.0,60.0,0.598285662,0.249679084,9.2,9.2,9.17
340.2,467.0,477.4,456.2,510.6,498.6,499.4,465.4,5.9674,-13.4828,-13.4396,160.8,747.1878,6.0176,60.0,0.5974034,0.250755532,0.0,0.0,0.0
344.2,466.8,476.2,461.0,514.8,502.6,501.6,461.4,5.9204,-13.4682,-13.4298,161.6,745.511,5.9984,60.0,0.597829547,0.250367363,0.0,0.0,0.0
347.6,466.6,474.8,465.8,518.4,505.0,503.2,456.2,5.9174,-13.4602,-13.4172,162.0,740.562,6.0174,60.0,0.597181804,0.250498458,0.0,0.0,0.0
351.8,466.4,472.8,469.2,520.4,506.4,503.2,451.0,5.9496,-13.4622,-13.4152,159.8,737.8758,6.0322,60.0,0.5967856,0.250236366,9.17,9.17,9.15
